;Energy_5
2022-01-12 10:00:00+02:00;-1.4643480056996039
2022-01-12 10:15:00+02:00;-1.4643043271983474
2022-01-12 10:30:00+02:00;-1.4642691026005599
2022-01-12 10:45:00+02:00;-1.4642437408901527
2022-01-12 11:00:00+02:00;-1.4642000623888962
2022-01-12 11:15:00+02:00;-1.4641549749037281
2022-01-12 11:30:00+02:00;-1.46410988741856
2022-01-12 11:45:00+02:00;-1.4640662089173035
2022-01-12 12:00:00+02:00;-1.4640309843195158
2022-01-12 12:15:00+02:00;-1.46399716870564
2022-01-12 12:30:00+02:00;-1.4639619441078522
2022-01-12 12:45:00+02:00;-1.4639351734135337
2022-01-12 13:00:00+02:00;-1.4638999488157463
2022-01-12 13:15:00+02:00;-1.4638647242179585
2022-01-12 13:30:00+02:00;-1.463821045716702
2022-01-12 13:45:00+02:00;-1.4637773672154455
2022-01-12 14:00:00+02:00;-1.4637322797302774
2022-01-12 14:15:00+02:00;-1.4637055090359588
2022-01-12 14:30:00+02:00;-1.463688601229021
2022-01-12 14:45:00+02:00;-1.4636533766312332
2022-01-12 15:00:00+02:00;-1.4636181520334457
2022-01-12 15:15:00+02:00;-1.463599835242596
2022-01-12 15:30:00+02:00;-1.4635744735321892
2022-01-12 15:45:00+02:00;-1.4635561567413395
2022-01-12 16:00:00+02:00;-1.4635392489344015
2022-01-12 16:15:00+02:00;-1.463529386047021
2022-01-12 16:30:00+02:00;-1.463529386047021
2022-01-12 16:45:00+02:00;-1.463520932143552
2022-01-12 17:00:00+02:00;-1.463520932143552
2022-01-12 17:15:00+02:00;-1.463520932143552
2022-01-12 17:30:00+02:00;-1.463520932143552
2022-01-12 17:45:00+02:00;-1.463520932143552
2022-01-12 19:15:00+02:00;-1.463520932143552
2022-01-12 20:30:00+02:00;-1.463520932143552
2022-01-13 07:45:00+02:00;-1.463520932143552
2022-01-13 08:00:00+02:00;-1.463520932143552
2022-01-13 08:15:00+02:00;-1.463520932143552
2022-01-13 08:30:00+02:00;-1.463520932143552
2022-01-13 08:45:00+02:00;-1.463520932143552
2022-01-13 09:00:00+02:00;-1.463512478240083
2022-01-13 09:15:00+02:00;-1.4635026153527024
2022-01-13 09:30:00+02:00;-1.4634857075457643
